Designation,Age,Can you approach and orient yourself to carry out the necessary action?,Can you decide what to do next?,Do you know where to start looking? ,Can you execute movement and navigation actions? ,Can you form or remember the task goal?,Can you determine a pathway towards the target? ,Can you remember important objects or locations?,Were you able to form an intention of what to do?,Is the consequence of action visible? ,Can you carry out the manipulation easily? ,Were the appropriate objects or part of the environment visible?,Were you able to locate the necessary objects? ,Can you interpret the change? ,Can you recognize the search target? 
Student,18-25,4,5,5,5,5,5,5,5,5,5,5,5,4,5
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,4,4,5,5,4,5,5,5,5,4,5,5,4,5
Student,18-25,4,4,5,5,5,4,5,5,5,4,5,5,5,5
Student,18-25,4,5,5,5,5,4,4,5,5,5,5,5,5,5
Student,18-25,4,4,4,4,3,3,4,3,4,4,3,5,2,4
Student,18-25,5,5,4,5,5,4,4,4,5,4,5,5,5,5
Student,18-25,3,3,3,3,5,3,3,5,3,5,3,3,3,4
Student,18-25,5,3,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,5,4,5,3,3,5,5,3,3,5,5,3,1,3
Student,18-25,4,5,5,5,5,5,5,5,4,4,5,4,4,5
Student,18-25,5,5,5,5,5,5,4,3,4,4,5,5,4,5
Student,18-25,1,3,3,2,4,4,3,2,3,5,5,3,4,1
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Student,18-25,5,5,5,5,5,4,5,5,5,5,5,5,5,5
Student,18-25,2,2,3,3,4,3,3,3,4,2,3,3,3,3
Student,18-25,4,5,5,4,5,5,5,4,5,5,5,4,4,5
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,4,5
Student,18-25,5,5,5,5,5,5,5,5,5,4,5,5,5,5
Student,18-25,1,5,5,4,3,4,4,4,5,2,5,5,1,4
Student,18-25,3,4,3,4,4,5,4,4,5,3,5,5,4,4
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,5,4,4,4,5,5,4,4,5,5,4,5,5,5
Student,18-25,5,5,5,5,4,5,5,5,4,4,4,4,5,4
Student,18-25,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Student,18-25,5,5,5,4,4,4,5,4,5,5,5,4,5,4
Student,18-25,4,3,4,5,5,5,5,5,3,4,5,5,2,5
Student,18-25,3,3,3,3,2,3,3,2,3,3,3,3,2,3
Student,18-25,5,4,4,5,5,5,4,4,4,5,5,5,4,5
Student,18-25,3,3,3,3,3,3,3,3,3,3,4,4,3,3
Student,18-25,5,5,4,5,3,5,5,3,5,4,5,5,5,5
Student,18-25,5,5,5,4,5,4,5,5,5,5,5,5,4,4
Student,18-25,4,5,3,4,3,4,5,3,5,5,5,4,4,5
Student,18-25,3,3,3,3,2,3,3,2,3,3,3,3,3,3
Student,18-25,4,5,5,5,5,5,5,5,5,5,4,5,5,4
Student,18-25,5,5,5,5,5,5,5,5,5,4,5,4,5,5
Student,18-25,5,5,5,5,4,5,4,5,5,5,5,5,5,5
Student,18-25,4,4,5,4,5,5,5,4,5,5,5,5,5,5
Student,18-25,5,4,4,4,4,4,5,4,5,5,5,5,4,4
Student,18-25,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Student,18-25,4,4,3,5,5,4,5,4,5,4,5,4,4,5
Student,18-25,5,5,5,5,4,4,4,5,4,5,5,4,5,5
Student,18-25,5,4,4,5,3,5,4,4,4,3,4,5,5,5
Student,18-25,4,5,4,4,5,4,5,4,5,4,5,5,4,4
Student,18-25,5,5,4,5,5,5,4,5,5,5,5,5,4,5
Student,18-25,5,4,5,4,5,5,5,5,4,5,4,5,5,5
Student,18-25,4,5,5,5,5,5,5,4,5,5,5,5,4,4
Student,18-25,3,4,5,5,4,4,5,5,5,5,5,4,4,5
Student,18-25,4,5,5,5,5,4,4,4,4,5,5,4,5,5
,,175,181,184,182,181,185,186,175,187,182,193,188,170,183
